id,grupo,duracion_seg,num_turnos,num_turnos_agente,num_turnos_cliente,tiempo_agente_seg,tiempo_cliente_seg,proporcion_habla_agente,palabras_por_minuto_agente,contactabilidad,efectividad,hubo_negociacion,compromiso_pago,objeciones_count,manejo_objeciones,resultado_final,claridad,dato_repetido,veces_repetido,contradiccion,confusion_cliente,confusion_resuelta
0445c357-e465-49ae-8067-bfa91d11b532,humano,309.52,137,113,24,228.59,49.41,0.8222661870503597,119.60454897906438,True,True,True,True,2,bueno,Cliente aceptó plan de pagos,3,True,4,False,True,bien
07c816c7-cb2b-4178-ab85-e501f1c38bd9,ia,141.92,29,23,6,93.45000000000002,13.029999999999987,0.8776296018031556,128.1003382187148,True,False,True,False,2,regular,Sin acuerdo ni compromiso,3,True,2,True,False,no_aplica
09115a4a-ac50-4425-9dbc-b551a0b5342c,humano,87.2,21,18,3,73.05,9.840000000000003,0.8812884545783568,136.92660550458714,True,False,False,False,0,no_aplica,se enviará acuerdo formal,3,True,2,False,False,no_aplica
0aef8aeb-0086-4f38-b53d-a771fc949c2b,ia,83.4,29,22,7,53.24,12.399999999999999,0.8110907982937233,99.28057553956833,True,False,True,False,1,bueno,Sin compromiso de pago,4,False,0,False,False,no_aplica
0bc9a430-bdcd-44a7-a92d-e71dc33c8ad5,humano,105.64,12,12,0,50.320000000000014,0.0,1.0,60.204468004543735,True,False,False,False,2,regular,Tercero responde deudor ausente,2,True,2,False,False,no_aplica
0c6ada7d-d8c5-4840-ae79-0d8d573183dc,humano,141.48,12,2,10,65.99000000000001,28.730000000000004,0.6966849662162162,5.089058524173029,False,False,False,False,0,no_aplica,Buzón de voz sin contacto,3,False,0,False,False,no_aplica
0d2d37dd-38a4-40dd-ac62-b430f722ed57,humano,594.72,100,68,32,400.49999999999994,170.48000000000002,0.701425619111002,88.68038740920096,True,True,True,True,4,bueno,Acuerdo reactivado con compromiso,3,True,3,False,True,bien
12fb0266-c7af-4439-b62b-e9ce0c2e947f,ia,472.48,73,44,29,218.50000000000003,247.33000000000004,0.469055234742288,63.62174060277683,True,False,True,False,4,regular,Sin acuerdo recontactar después,4,True,2,True,False,no_aplica
19b3eddf-e2d6-4b68-befc-bdb10a10719a,ia,92.1,15,12,3,59.149999999999984,24.169999999999998,0.7099135861737877,95.11400651465799,True,False,True,False,1,no_aplica,cliente desconoce la deuda,3,True,2,False,True,no_aplica
1a132947-7135-429f-ba15-825ac02ba601,ia,434.46,81,51,30,243.47000000000014,137.85,0.6384926046365258,76.64687197900842,True,True,True,True,2,regular,Compromiso de pago 30 julio,2,True,4,True,True,mal
1c72dd55-acbb-4ebe-a4d7-446cc294a4a1,humano,224.62,90,59,31,139.14999999999998,66.74000000000001,0.6758463257079023,74.25874810791558,True,True,True,True,2,regular,Compromiso condicional a comité,3,True,1,False,False,no_aplica
1e3beb83-824b-4ad5-8483-f4ff6ea3c05e,humano,160.76,22,18,4,95.79,21.87999999999998,0.8140562590294894,87.33515799950237,True,True,True,True,1,bueno,Compromiso de pago para el 30,4,True,3,False,False,no_aplica
1f5cda00-bbf3-4770-97dc-99760ddadc1b,humano,143.74,58,45,13,102.44000000000001,22.999999999999993,0.8166454081632654,117.29511618199527,True,True,True,True,0,no_aplica,Compromiso de pago total,3,True,1,True,True,bien
239a604a-3b58-445a-bfb4-88113ba4f232,ia,67.16,12,7,5,38.759999999999984,22.260000000000005,0.6352015732546704,64.32400238237047,True,False,False,False,1,malo,sin contactar al deudor,2,False,0,True,True,bien
293e667b-63e6-43e4-a811-06249526467a,ia,90.82,14,10,4,47.839999999999996,40.75000000000001,0.5400158031380516,79.93833957278133,True,False,True,False,1,malo,Cliente rechaza deuda y descuento,3,True,1,False,False,no_aplica
2a92a64c-6ea8-48a0-b47a-445a3c577199,humano,626.2,291,161,130,340.2000000000001,265.53999999999996,0.5616271007362896,87.28840625998083,True,True,True,True,3,bueno,Acuerdo de pago alcanzado,2,True,3,False,True,bien
2b377b6a-4fa1-4910-8d68-9ee05f7c302a,humano,202.66,28,26,2,155.0,18.64,0.8926514627965907,94.73995855126813,True,True,True,True,1,bueno,Acuerdo de pago en tres cuotas,4,True,2,False,False,no_aplica
2d454b7b-9f12-4acb-8101-d3ba74bb84ff,humano,578.9,264,180,84,389.37000000000006,170.11999999999998,0.6959373715347907,101.46830195197789,True,False,True,False,5,regular,Quedó en validar excepción,2,True,5,True,True,mal
2e50e9db-53c9-4472-ad05-1ba1032dd707,humano,123.4,19,10,9,53.44999999999998,53.670000000000016,0.4989731142643762,52.99837925445705,True,False,False,False,3,regular,Acordaron rellamar en una hora,2,True,3,False,False,no_aplica
